n,Unnamed: 0,Country,Track_Name,Artist_Name,Album_Name,Popularity,Date,Markets,Danceability,Acousticness,duration,Energy,Speechiness,Tempo,Positiveness
0,50,DEU,Liebe Grüsse,RAF Camora,Liebe Grüsse,80,2023-10-27,AR,0.796,0.179,136988,0.865,0.0801,130.012,0.768
1,51,DEU,Si No Estás,iñigo quintero,Si No Estás,99,2022-09-23,AR,0.537,0.827,184061,0.421,0.0285,98.224,0.524
2,52,DEU,Vois sur ton chemin - Techno Mix,BENNETT,Vois sur ton chemin (Techno Mix),91,2023-08-04,AR,0.634,0.0908,178156,0.824,0.047,137.959,0.371
3,53,DEU,Blonde Chaya - Sped up,Amaru,Blonde Chaya (Sped up),80,2023-09-08,AR,0.717,0.297,181053,0.804,0.144,170.926,0.832
4,54,DEU,2 Germans (feat. Gzuz),Luciano,2 Germans (feat. Gzuz),77,2023-10-26,AR,0.776,0.0283,149444,0.714,0.335,161.015,0.433
5,55,DEU,greedy,Tate McRae,greedy,100,2023-09-15,AR,0.75,0.256,131872,0.733,0.0319,111.018,0.844
6,56,DEU,Prada,cassö,Prada,94,2023-08-11,AR,0.638,0.001,132359,0.717,0.0375,141.904,0.422
7,57,DEU,Strangers,Kenya Grace,Strangers,98,2023-09-01,AR,0.628,0.701,172965,0.523,0.0946,169.982,0.416
8,58,DEU,Hässlich,AYLIVA,Schwarzes Herz,82,2023-08-25,AR,0.914,0.12,136360,0.489,0.0858,108.072,0.559
9,59,DEU,14 PASSENGER,reezy,NUR DAMIT DU WEISST,79,2023-10-20,AR,0.815,0.0987,146040,0.666,0.109,119.964,0.533
10,60,DEU,Ms. Jackson,Pashanim,Ms. Jackson,82,2023-08-24,AR,0.774,0.163,147587,0.7,0.266,81.99,0.624
11,61,DEU,9 bis 9,SIRA,9 bis 9,82,2023-05-05,AR,0.767,0.364,131524,0.539,0.0629,128.055,0.368
12,62,DEU,Paint The Town Red,Doja Cat,Scarlet,89,2023-09-20,AR,0.864,0.255,230480,0.556,0.194,99.974,0.726
13,63,DEU,Mädchen auf dem Pferd,Luca-Dante Spadafora,Mädchen auf dem Pferd,81,2023-05-12,AR,0.837,0.108,157059,0.944,0.352,169.975,0.681
14,64,DEU,2003,Liaze,2003,76,2023-10-20,AR,0.748,0.736,136280,0.551,0.0458,107.933,0.626
15,65,DEU,Komet,Udo Lindenberg,Komet,80,2023-01-19,AR,0.55,0.285,167357,0.5,0.045,115.016,0.351
16,66,DEU,Feuer Wasser Sturm,Niclov,Feuer Wasser Sturm,79,2023-08-25,AR,0.822,0.443,136552,0.74,0.0739,145.066,0.454
17,67,DEU,WE THE HOTTEST IN HERE,reezy,WE THE HOTTEST IN HERE,71,2023-10-27,AR,0.819,0.111,118000,0.521,0.113,121.0,0.599
18,68,DEU,ANGST>LIEBE,Ellice,ANGST>LIEBE,75,2023-10-13,AR,0.735,0.459,179385,0.46,0.228,119.949,0.294
19,69,DEU,Weißes Haus,AYLIVA,Schwarzes Herz,76,2023-08-25,AR,0.626,0.506,168147,0.435,0.336,82.839,0.521
20,70,DEU,Wenn du lächelst,Milano,Wenn du lächelst,73,2023-10-23,AR,0.693,0.348,123887,0.535,0.0579,98.092,0.442
21,71,DEU,EWIGKEIT - REMIX,erobé,EWIGKEIT (REMIX),79,2023-06-23,AR,0.715,0.0272,137647,0.845,0.137,170.028,0.647
22,72,DEU,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,1989 (Taylor's Version),93,2023-10-26,AR,0.596,0.0504,229478,0.658,0.036,100.012,0.176
23,73,DEU,Enchanté,Sosa La M,Enchanté,78,2023-09-15,AR,0.828,0.0794,96638,0.438,0.193,107.089,0.619
24,74,DEU,Take it,Jazeek,Take it,77,2023-09-22,AR,0.739,0.0262,172105,0.668,0.0471,114.045,0.579
25,75,DEU,LiEBE AUF DER RÜCKBANK,FiNCH,DORFDiSKO ZWEi,74,2023-06-01,AR,0.692,0.267,188520,0.732,0.145,154.881,0.628
26,76,DEU,Water,Tyla,Water,95,2023-07-28,AR,0.673,0.0856,200256,0.722,0.0755,117.187,0.519
27,77,DEU,Meine 1,1986zig,Meine 1,74,2023-10-13,AR,0.629,0.0429,184827,0.858,0.0509,149.654,0.693
28,78,DEU,Scheine zählen,AYLIVA,Schwarzes Herz,78,2023-08-25,AR,0.49,0.747,167947,0.379,0.0318,77.928,0.236
29,79,DEU,S u m m e r t i m e,danicpeepner,S u m m e r t i m e,55,2015-06-08,AR,0.706,0.299,195500,0.505,0.0505,132.58,0.227
30,80,DEU,Lass mich gehen,AYLIVA,Schwarzes Herz,78,2023-08-25,AR,0.38,0.114,157160,0.545,0.0451,178.182,0.302
31,81,DEU,Cold Princess,Luciano,Cold Princess,76,2023-10-12,AR,0.87,0.00852,153600,0.626,0.394,125.024,0.812
32,82,DEU,Not Fair,Niklas Dee,Not Fair,59,2023-06-30,US,0.733,0.0294,163034,0.976,0.045,144.989,0.523
33,83,DEU,Ich will nur dass du weißt - IIVEN Remix,SDP,Ich will nur dass du weißt (IIVEN Remix),77,2023-07-27,AR,0.549,0.0355,156387,0.869,0.323,155.116,0.511
34,84,DEU,Cruel Summer,Taylor Swift,Lover,99,2019-08-23,AR,0.552,0.117,178427,0.702,0.157,169.994,0.564
35,85,DEU,Daylight,David Kushner,Daylight,95,2023-04-14,AR,0.508,0.83,212954,0.43,0.0335,130.09,0.324
36,86,DEU,Cynical,twocolors,Cynical,82,2023-06-30,AR,0.69,0.0268,191365,0.84,0.0573,129.935,0.493
37,87,DEU,Push Up - Main Edit,Creeds,Push Up (Main Edit),85,2023-03-31,AR,0.767,0.209,139300,0.83,0.206,75.023,0.187
"38,88,DEU,""Dance For Me (1, 2, 3) - Stutter Techno"",Sonny Wern,""Dance For Me (1, 2, 3) [Stutter Techno]"",67,2023-10-06,AD,0.706,0.0505,147895,0.975,0.0651,154.993,0.319"
39,89,DEU,Say Don't Go (Taylor's Version) (From The Vault),Taylor Swift,1989 (Taylor's Version),90,2023-10-26,AR,0.626,0.0656,279833,0.547,0.0342,109.946,0.192
40,90,DEU,Komm mit,badmómzjay,Komm mit,69,2023-10-26,AR,0.893,0.0643,159673,0.657,0.0891,109.978,0.417
41,91,DEU,Now That We Don't Talk (Taylor's Version) (From The Vault),Taylor Swift,1989 (Taylor's Version),91,2023-10-26,AR,0.793,0.186,146437,0.512,0.0338,109.994,0.0662
"42,92,DEU,""""""Slut!"""" (Taylor's Version) (From The Vault)"",Taylor Swift,1989 (Taylor's Version),91,2023-10-26,AR,0.629,0.345,180381,0.413,0.055,77.983,0.306"
43,93,DEU,Weiche Kissen,Kontra K,Weiche Kissen,43,2023-10-19,AR,0.751,0.12,180173,0.641,0.312,139.92,0.563
44,94,DEU,Airplanes,badmómzjay,Airplanes,76,2023-09-07,AR,0.743,0.0861,146368,0.606,0.161,93.123,0.292
45,95,DEU,TABU.,Yung Yury,TABU.,77,2023-03-17,AR,0.667,0.219,135302,0.702,0.169,148.978,0.479
46,96,DEU,KETAMIN,YAKARY,KETAMIN,75,2023-06-16,AR,0.601,0.0796,172246,0.769,0.394,86.891,0.527
47,97,DEU,MAXIMUM RIZZ,Ski Aggu,denk mal drüber nach...,72,2023-10-12,AR,0.726,0.016,147960,0.856,0.158,75.016,0.951
48,98,DEU,In deinen Armen,AYLIVA,Schwarzes Herz,75,2023-08-25,AR,0.651,0.135,141318,0.591,0.0389,125.036,0.159
49,99,DEU,Another Love,Tom Odell,Long Way Down (Deluxe),92,2013-06-24,AR,0.445,0.695,244360,0.537,0.04,122.769,0.131
50,250,AUT,Liebe Grüsse,RAF Camora,Liebe Grüsse,80,2023-10-27,AR,0.796,0.179,136988,0.865,0.0801,130.012,0.768
51,251,AUT,Si No Estás,iñigo quintero,Si No Estás,99,2022-09-23,AR,0.537,0.827,184061,0.421,0.0285,98.224,0.524
52,252,AUT,Blonde Chaya - Sped up,Amaru,Blonde Chaya (Sped up),80,2023-09-08,AR,0.717,0.297,181053,0.804,0.144,170.926,0.832
53,253,AUT,greedy,Tate McRae,greedy,100,2023-09-15,AR,0.75,0.256,131872,0.733,0.0319,111.018,0.844
54,254,AUT,Strangers,Kenya Grace,Strangers,98,2023-09-01,AR,0.628,0.701,172965,0.523,0.0946,169.982,0.416
55,255,AUT,Vois sur ton chemin - Techno Mix,BENNETT,Vois sur ton chemin (Techno Mix),91,2023-08-04,AR,0.634,0.0908,178156,0.824,0.047,137.959,0.371
56,256,AUT,Prada,cassö,Prada,94,2023-08-11,AR,0.638,0.001,132359,0.717,0.0375,141.904,0.422
57,257,AUT,Ms. Jackson,Pashanim,Ms. Jackson,82,2023-08-24,AR,0.774,0.163,147587,0.7,0.266,81.99,0.624
58,258,AUT,Paint The Town Red,Doja Cat,Scarlet,89,2023-09-20,AR,0.864,0.255,230480,0.556,0.194,99.974,0.726
59,259,AUT,Mädchen auf dem Pferd,Luca-Dante Spadafora,Mädchen auf dem Pferd,81,2023-05-12,AR,0.837,0.108,157059,0.944,0.352,169.975,0.681
60,260,AUT,By My Side,Solven,By My Side,49,2023-11-03,AR,0.658,0.0494,144390,0.845,0.0584,123.125,0.157
61,261,AUT,Hässlich,AYLIVA,Schwarzes Herz,82,2023-08-25,AR,0.914,0.12,136360,0.489,0.0858,108.072,0.559
62,262,AUT,9 bis 9,SIRA,9 bis 9,82,2023-05-05,AR,0.767,0.364,131524,0.539,0.0629,128.055,0.368
63,263,AUT,2 Germans (feat. Gzuz),Luciano,2 Germans (feat. Gzuz),77,2023-10-26,AR,0.776,0.0283,149444,0.714,0.335,161.015,0.433
64,264,AUT,Another Love,Tom Odell,Long Way Down (Deluxe),92,2013-06-24,AR,0.445,0.695,244360,0.537,0.04,122.769,0.131
65,265,AUT,fix net normal,AUT of ORDA,fix net normal,57,2023-10-20,AR,0.561,0.156,185294,0.75,0.0559,152.933,0.713
66,266,AUT,Komet,Udo Lindenberg,Komet,80,2023-01-19,AR,0.55,0.285,167357,0.5,0.045,115.016,0.351
67,267,AUT,ITALODISCO,The Kolors,ITALODISCO,83,2023-05-05,AR,0.885,0.00318,199512,0.579,0.0596,123.038,0.817
68,268,AUT,14 PASSENGER,reezy,NUR DAMIT DU WEISST,79,2023-10-20,AR,0.815,0.0987,146040,0.666,0.109,119.964,0.533
69,269,AUT,ANGST>LIEBE,Ellice,ANGST>LIEBE,75,2023-10-13,AR,0.735,0.459,179385,0.46,0.228,119.949,0.294
70,270,AUT,Feuer Wasser Sturm,Niclov,Feuer Wasser Sturm,79,2023-08-25,AR,0.822,0.443,136552,0.74,0.0739,145.066,0.454
71,271,AUT,Daylight,David Kushner,Daylight,95,2023-04-14,AR,0.508,0.83,212954,0.43,0.0335,130.09,0.324
72,272,AUT,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,1989 (Taylor's Version),93,2023-10-26,AR,0.596,0.0504,229478,0.658,0.036,100.012,0.176
73,273,AUT,Not Fair,Niklas Dee,Not Fair,59,2023-06-30,US,0.733,0.0294,163034,0.976,0.045,144.989,0.523
74,274,AUT,vampire,Olivia Rodrigo,GUTS,95,2023-09-08,AR,0.511,0.177,219724,0.532,0.0578,138.005,0.35
75,275,AUT,Cruel Summer,Taylor Swift,Lover,99,2019-08-23,AR,0.552,0.117,178427,0.702,0.157,169.994,0.564
76,276,AUT,Last Christmas - Single Version,Wham!,The Singles: Echoes from the Edge of Heaven,70,2023-07-07,AR,0.733,0.212,265960,0.598,0.0278,107.732,0.935
77,277,AUT,All I Want for Christmas Is You,Mariah Carey,Merry Christmas,86,1994-10-28,AR,0.336,0.164,241107,0.627,0.0384,150.273,0.35
78,278,AUT,Now And Then,The Beatles,Now And Then,84,2023-11-02,AR,0.442,0.238,248333,0.605,0.0284,87.194,0.358
79,279,AUT,The Night We Met,Lord Huron,Strange Trails,83,2015-04-07,CA,0.545,0.969,208212,0.366,0.0378,86.997,0.1
80,280,AUT,In der Nacht,01099,Blaue Stunden,67,2023-11-03,AR,0.897,0.417,179154,0.566,0.039,120.05,0.36
81,281,AUT,ARKHAM ASYLUM,Capital Bra,ARKHAM ASYLUM,68,2023-11-02,AR,0.546,0.481,248000,0.679,0.539,92.656,0.525
82,282,AUT,Crash Dummy,BHZ,Crash Dummy,66,2023-11-03,AR,0.622,0.0502,172137,0.715,0.088,147.106,0.306
83,283,AUT,Weißes Haus,AYLIVA,Schwarzes Herz,76,2023-08-25,AR,0.626,0.506,168147,0.435,0.336,82.839,0.521
84,284,AUT,EWIGKEIT - REMIX,erobé,EWIGKEIT (REMIX),79,2023-06-23,AR,0.715,0.0272,137647,0.845,0.137,170.028,0.647
85,285,AUT,Take it,Jazeek,Take it,77,2023-09-22,AR,0.739,0.0262,172105,0.668,0.0471,114.045,0.579
86,286,AUT,Wenn du lächelst,Milano,Wenn du lächelst,73,2023-10-23,AR,0.693,0.348,123887,0.535,0.0579,98.092,0.442
87,287,AUT,Mockingbird,Eminem,Encore (Deluxe Version),90,2004-11-12,AR,0.637,0.209,250760,0.678,0.266,84.039,0.254
88,288,AUT,LiEBE AUF DER RÜCKBANK,FiNCH,DORFDiSKO ZWEi,74,2023-06-01,AR,0.692,0.267,188520,0.732,0.145,154.881,0.628
89,289,AUT,Anders,01099,Blaue Stunden,58,2023-11-03,AR,0.743,0.527,155021,0.809,0.214,75.035,0.342
90,290,AUT,Scheine zählen,AYLIVA,Schwarzes Herz,78,2023-08-25,AR,0.49,0.747,167947,0.379,0.0318,77.928,0.236
91,291,AUT,Water,Tyla,Water,95,2023-07-28,AR,0.673,0.0856,200256,0.722,0.0755,117.187,0.519
92,292,AUT,TABU.,Yung Yury,TABU.,77,2023-03-17,AR,0.667,0.219,135302,0.702,0.169,148.978,0.479
93,293,AUT,Sprinter,Dave,Sprinter,93,2023-06-01,AR,0.916,0.186,226383,0.583,0.241,141.095,0.661
94,294,AUT,ecstacy (slowed),SUICIDAL-IDOL,ecstacy (slowed),90,2023-06-06,AR,0.551,0.0173,119120,0.677,0.0665,106.414,0.195
95,295,AUT,Push Up - Main Edit,Creeds,Push Up (Main Edit),85,2023-03-31,AR,0.767,0.209,139300,0.83,0.206,75.023,0.187
96,296,AUT,My Love Mine All Mine,Mitski,The Land Is Inhospitable and So Are We,97,2023-09-15,AR,0.504,0.868,137773,0.308,0.0321,113.95,0.121
97,297,AUT,fukumean,Gunna,a Gift & a Curse,95,2023-06-16,AR,0.847,0.119,125040,0.622,0.0903,130.001,0.22
98,298,AUT,Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,The Heist,87,2012-10-09,AR,0.633,0.0267,258432,0.927,0.0839,146.097,0.88
99,299,AUT,On Fire 🔥,Bonez MC,LOVELINE EP 💔,67,2023-11-02,AR,0.74,0.64,165834,0.469,0.157,141.998,0.657
100,450,BEL,Si No Estás,iñigo quintero,Si No Estás,99,2022-09-23,AR,0.537,0.827,184061,0.421,0.0285,98.224,0.524
101,451,BEL,Prada,cassö,Prada,94,2023-08-11,AR,0.638,0.001,132359,0.717,0.0375,141.904,0.422
102,452,BEL,greedy,Tate McRae,greedy,100,2023-09-15,AR,0.75,0.256,131872,0.733,0.0319,111.018,0.844
103,453,BEL,Vois sur ton chemin - Techno Mix,BENNETT,Vois sur ton chemin (Techno Mix),91,2023-08-04,AR,0.634,0.0908,178156,0.824,0.047,137.959,0.371
104,454,BEL,Strangers,Kenya Grace,Strangers,98,2023-09-01,AR,0.628,0.701,172965,0.523,0.0946,169.982,0.416
105,455,BEL,Paint The Town Red,Doja Cat,Scarlet,89,2023-09-20,AR,0.864,0.255,230480,0.556,0.194,99.974,0.726
106,456,BEL,Daylight,David Kushner,Daylight,95,2023-04-14,AR,0.508,0.83,212954,0.43,0.0335,130.09,0.324
107,457,BEL,Water,Tyla,Water,95,2023-07-28,AR,0.673,0.0856,200256,0.722,0.0755,117.187,0.519
108,458,BEL,Another Love,Tom Odell,Long Way Down (Deluxe),92,2013-06-24,AR,0.445,0.695,244360,0.537,0.04,122.769,0.131
109,459,BEL,Eigen Schuld,Metejoor,Joris,57,2023-09-29,AR,0.663,0.764,193600,0.415,0.0314,137.964,0.407
110,460,BEL,Petit génie,Jungeli,Petit génie,15,2023-08-04,AR,0.794,0.103,217260,0.578,0.25,126.032,0.967
111,461,BEL,Casanova,Soolking,Casanova,86,2023-07-06,AR,0.801,0.677,189091,0.832,0.208,132.044,0.758
112,462,BEL,Desire (with Sam Smith),Calvin Harris,Desire (with Sam Smith),87,2023-07-28,AR,0.587,0.0311,179162,0.924,0.0457,140.009,0.509
"113,463,BEL,""What Was I Made For? [From The Motion Picture """"Barbie""""]"",Billie Eilish,""What Was I Made For? [From The Motion Picture """"Barbie""""]"",95,2023-07-13,AR,0.444,0.959,222370,0.0911,0.0307,78.403,0.142"
114,464,BEL,Tattoo,Loreen,Tattoo,89,2023-02-25,AR,0.545,0.243,183375,0.779,0.0751,150.002,0.303
115,465,BEL,Dance The Night - From Barbie The Album,Dua Lipa,Dance The Night (From Barbie The Album),94,2023-05-25,AR,0.671,0.0207,176579,0.845,0.048,110.056,0.775
116,466,BEL,(It Goes Like) Nanana - Edit,Peggy Gou,(It Goes Like) Nanana [Edit],91,2023-06-15,AR,0.671,0.12,231545,0.876,0.0352,129.998,0.964
117,467,BEL,Not Fair,Niklas Dee,Not Fair,59,2023-06-30,US,0.733,0.0294,163034,0.976,0.045,144.989,0.523
118,468,BEL,FLASHBACK,Favé,IL LE FALLAIT,69,2023-10-13,AR,0.762,0.39,176120,0.564,0.088,141.938,0.744
119,469,BEL,Cruel Summer,Taylor Swift,Lover,99,2019-08-23,AR,0.552,0.117,178427,0.702,0.157,169.994,0.564
120,470,BEL,Lose Control,Teddy Swims,I've Tried Everything But Therapy (Part 1),80,2023-09-15,AR,0.561,0.199,210689,0.604,0.0337,159.92,0.242
121,471,BEL,vampire,Olivia Rodrigo,GUTS,95,2023-09-08,AR,0.511,0.177,219724,0.532,0.0578,138.005,0.35
122,472,BEL,Erop Of Eronder,Pommelien Thijs,Per Ongeluk,60,2023-06-23,AR,0.65,0.0186,161800,0.507,0.0533,90.069,0.839
123,473,BEL,Push Up - Main Edit,Creeds,Push Up (Main Edit),85,2023-03-31,AR,0.767,0.209,139300,0.83,0.206,75.023,0.187
124,474,BEL,The Night We Met,Lord Huron,Strange Trails,83,2015-04-07,CA,0.545,0.969,208212,0.366,0.0378,86.997,0.1
125,475,BEL,Overdrive (feat. Norma Jean Martine),Ofenbach,Overdrive (feat. Norma Jean Martine),76,2023-10-06,AR,0.611,0.00257,155905,0.757,0.03,126.963,0.279
126,476,BEL,Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,The Heist,87,2012-10-09,AR,0.633,0.0267,258432,0.927,0.0839,146.097,0.88
127,477,BEL,LAISSE MOI,KeBlack,LAISSE MOI,81,2023-09-08,AR,0.765,0.456,168620,0.717,0.349,120.025,0.695
128,478,BEL,I'm Good (Blue),David Guetta,I'm Good (Blue),92,2022-08-26,AR,0.561,0.00383,175238,0.965,0.0343,128.04,0.304
129,479,BEL,Sprinter,Dave,Sprinter,93,2023-06-01,AR,0.916,0.186,226383,0.583,0.241,141.095,0.661
130,480,BEL,Flowers,Miley Cyrus,Endless Summer Vacation,92,2023-08-18,AR,0.706,0.0584,200600,0.691,0.0633,118.048,0.632
131,481,BEL,Saiyan,Heuss L'enfoiré,Chef D'orchestre,76,2023-06-30,AR,0.775,0.353,189840,0.808,0.0353,125.013,0.638
132,482,BEL,Someone You Loved,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,91,2019-05-17,AR,0.501,0.751,182161,0.405,0.0319,109.891,0.446
133,483,BEL,Bolide allemand,SDM,Liens du 100,80,2022-12-02,AR,0.718,0.441,176747,0.643,0.16,131.825,0.645
134,484,BEL,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,1989 (Taylor's Version),93,2023-10-26,AR,0.596,0.0504,229478,0.658,0.036,100.012,0.176
135,485,BEL,As It Was,Harry Styles,Harry's House,95,2022-05-20,AR,0.52,0.342,167303,0.731,0.0557,173.93,0.662
136,486,BEL,Riptide,Vance Joy,Dream Your Life Away (Special Edition),83,2014-09-09,AR,0.484,0.431,204280,0.731,0.0379,101.654,0.51
137,487,BEL,lovely (with Khalid),Billie Eilish,lovely (with Khalid),91,2018-04-19,AR,0.351,0.934,200186,0.296,0.0333,115.284,0.12
138,488,BEL,My Love Mine All Mine,Mitski,The Land Is Inhospitable and So Are We,97,2023-09-15,AR,0.504,0.868,137773,0.308,0.0321,113.95,0.121
139,489,BEL,Take Me to Church,Hozier,Hozier (Expanded Edition),81,2014-09-19,AU,0.566,0.634,241693,0.664,0.0464,128.945,0.437
140,490,BEL,Viva La Vida,Coldplay,Viva La Vida or Death and All His Friends,88,2008-05-26,AR,0.486,0.0954,242373,0.617,0.0287,138.015,0.417
141,491,BEL,The Feeling,Lost Frequencies,The Feeling,83,2023-06-09,AR,0.615,0.404,152793,0.744,0.163,131.837,0.357
142,492,BEL,All I Want for Christmas Is You,Mariah Carey,Merry Christmas,86,1994-10-28,AR,0.336,0.164,241107,0.627,0.0384,150.273,0.35
143,493,BEL,Substitution (feat. Julian Perretta),Purple Disco Machine,Substitution (feat. Julian Perretta),82,2023-03-30,AR,0.69,0.00903,181478,0.89,0.0507,124.018,0.713
144,494,BEL,Lay Low,Tiësto,DRIVE,81,2023-04-21,AR,0.705,0.18,140160,0.663,0.0367,124.988,0.38
"145,495,BEL,""Dance For Me (1, 2, 3) - Stutter Techno"",Sonny Wern,""Dance For Me (1, 2, 3) [Stutter Techno]"",67,2023-10-06,AD,0.706,0.0505,147895,0.975,0.0651,154.993,0.319"
146,496,BEL,Meridian,Dave,Meridian & Special,75,2023-08-25,AR,0.897,0.169,255160,0.665,0.0713,115.05,0.601
147,497,BEL,Miracle (with Ellie Goulding),Calvin Harris,Miracle (with Ellie Goulding),86,2023-03-10,AR,0.636,0.0378,186496,0.869,0.0412,143.011,0.306
148,498,BEL,Mamma Mia,Mentissa,La vingtaine,74,2022-11-18,AR,0.844,0.492,176787,0.56,0.0596,121.056,0.665
149,499,BEL,SEYA,GIMS,LES DERNIÈRES VOLONTÉS DE MOZART (SYMPHONY),66,2023-10-05,AR,0.798,0.219,188485,0.681,0.0722,101.005,0.434
150,750,DNK,555 (feat. KESI),Gilli,Kiko Club,61,2023-11-02,AR,0.529,0.0258,157631,0.846,0.317,189.61,0.682
151,751,DNK,Skarpt Lys,Gilli,Kiko Club,53,2023-11-02,AR,0.758,0.047,183332,0.77,0.0971,150.03,0.743
152,752,DNK,greedy,Tate McRae,greedy,100,2023-09-15,AR,0.75,0.256,131872,0.733,0.0319,111.018,0.844
153,753,DNK,I KNOW,D1MA,I KNOW,69,2023-06-22,AR,0.844,0.039,189474,0.674,0.091,113.973,0.319
154,754,DNK,FORSVINDER (feat. Gobs),Branco,FORSVINDER (feat. Gobs),66,2023-10-13,AR,0.732,0.402,160471,0.807,0.338,139.932,0.537
155,755,DNK,Du & Jeg,Gilli,Kiko Club,53,2023-11-02,AR,0.797,0.116,173024,0.75,0.237,128.913,0.507
156,756,DNK,Tak For Sidst,Gobs,Tak For Sidst,68,2023-06-09,AR,0.815,0.0897,154155,0.613,0.236,134.926,0.649
157,757,DNK,Prada,cassö,Prada,94,2023-08-11,AR,0.638,0.001,132359,0.717,0.0375,141.904,0.422
158,758,DNK,Danser Med Dæmoner,Baloosh,Danser Med Dæmoner,53,2023-11-03,AR,0.755,0.402,161433,0.746,0.267,139.99,0.433
159,759,DNK,Uden Dig,Ukendt Kunstner,Dansktop,67,2023-05-12,AR,0.732,0.31,191342,0.737,0.115,163.084,0.88
160,760,DNK,Si No Estás,iñigo quintero,Si No Estás,99,2022-09-23,AR,0.537,0.827,184061,0.421,0.0285,98.224,0.524
161,761,DNK,Je Ka Jo,ICEKIID,Je Ka Jo,65,2023-09-29,AR,0.868,0.168,178556,0.741,0.0983,112.044,0.89
162,762,DNK,Water,Tyla,Water,95,2023-07-28,AR,0.673,0.0856,200256,0.722,0.0755,117.187,0.519
163,763,DNK,MOONLIGHT,D1MA,EV1GT&ALT1D,63,2023-03-16,AR,0.714,0.566,197043,0.492,0.209,118.987,0.557
